month,sku_id,demand_units
2024-01-01,SKU-001,2079
2024-02-01,SKU-001,1860
2024-03-01,SKU-001,1948
2024-04-01,SKU-001,2647
2024-05-01,SKU-001,2638
2024-06-01,SKU-001,2584
2024-07-01,SKU-001,2057
2024-08-01,SKU-001,2260
2024-09-01,SKU-001,2003
2024-10-01,SKU-001,2061
2024-11-01,SKU-001,2281
2024-12-01,SKU-001,1812
2025-01-01,SKU-001,2077
2025-02-01,SKU-001,2049
2025-03-01,SKU-001,2122
2025-04-01,SKU-001,2502
2025-05-01,SKU-001,2301
2025-06-01,SKU-001,2294
2025-07-01,SKU-001,1934
2025-08-01,SKU-001,1923
2025-09-01,SKU-001,1917
2025-10-01,SKU-001,1681
2025-11-01,SKU-001,1828
2025-12-01,SKU-001,2012
2024-01-01,SKU-002,1705
2024-02-01,SKU-002,1593
2024-03-01,SKU-002,1632
2024-04-01,SKU-002,1885
2024-05-01,SKU-002,2518
2024-06-01,SKU-002,2042
2024-07-01,SKU-002,1345
2024-08-01,SKU-002,1652
2024-09-01,SKU-002,1671
2024-10-01,SKU-002,1581
2024-11-01,SKU-002,1362
2024-12-01,SKU-002,1798
2025-01-01,SKU-002,1637
2025-02-01,SKU-002,1762
2025-03-01,SKU-002,1540
2025-04-01,SKU-002,1966
2025-05-01,SKU-002,2101
2025-06-01,SKU-002,1975
2025-07-01,SKU-002,1489
2025-08-01,SKU-002,1529
2025-09-01,SKU-002,1850
2025-10-01,SKU-002,1662
2025-11-01,SKU-002,1687
2025-12-01,SKU-002,1377
2024-01-01,SKU-003,1409
2024-02-01,SKU-003,1448
2024-03-01,SKU-003,1144
2024-04-01,SKU-003,1490
2024-05-01,SKU-003,1744
2024-06-01,SKU-003,1754
2024-07-01,SKU-003,1526
2024-08-01,SKU-003,1414
2024-09-01,SKU-003,1275
2024-10-01,SKU-003,1264
2024-11-01,SKU-003,1302
2024-12-01,SKU-003,1196
2025-01-01,SKU-003,1161
2025-02-01,SKU-003,1416
2025-03-01,SKU-003,1296
2025-04-01,SKU-003,1523
2025-05-01,SKU-003,1642
