sku_id,product_name,category,unit_cost_inr,unit_price_inr,lead_time_days,order_cost_inr,holding_rate,current_stock_units,on_order_units,annual_demand_units,avg_monthly_demand,std_monthly_demand,coefficient_of_variation,annual_consumption_value_inr,value_share,cumulative_value_share,abc_class,xyz_class,service_factor,safety_stock_units,reorder_point_units,eoq_units,inventory_position_units,recommended_order_units,risk_status,excess_units,potential_release_inr
SKU-028,Laundry Powder 1 kg,Home Care,53.34,79.27,14,1100,0.24,374,1604,24062,2005.1666666666667,187.39158481801167,0.09345436862339539,1283467.08,0.06955797419414694,0.06955797419414694,A,X,2.05,263,1199,2034,1978,0,Stockout risk,0,0.0
SKU-029,Dishwash Bar 200 g,Home Care,58.51,88.79,18,1100,0.24,5882,0,20761,1730.0833333333333,171.9410355237216,0.0993830945659968,1214726.1099999999,0.06583253184206056,0.1353905060362075,A,X,2.05,274,1313,1804,5882,0,Healthy,3804,222572.04
SKU-030,Floor Cleaner 1 L,Home Care,63.75,101.36,21,1100,0.24,2100,0,16801,1400.0833333333333,98.97149115076553,0.07068971452944386,1071063.75,0.05804669698484689,0.19343720302105438,A,X,2.05,170,1151,1555,2100,0,Healthy,375,23906.25
SKU-019,Daily Shampoo 180 ml,Personal Care,43.47,66.22,10,950,0.24,3666,0,23996,1999.6666666666667,94.46724620767034,0.04724149668661627,1043106.12,0.05653152286283552,0.2499687258838899,A,X,2.05,112,779,2091,3666,0,Healthy,1463,63596.61
SKU-031,Toilet Cleaner 500 ml,Home Care,68.09,103.91,5,1100,0.24,76,0,13628,1135.6666666666667,55.670023487973445,0.049019686076877116,927930.52,0.05028953852413679,0.3002582644080267,A,X,2.05,47,237,1355,76,1516,Stockout risk,0,0.0
SKU-020,Herbal Shampoo 180 ml,Personal Care,45.08,69.11,14,950,0.24,1285,0,20113,1676.0833333333333,117.02715949986165,0.06982180251570327,906694.0399999999,0.04913861961797012,0.34939688402599683,A,X,2.05,164,947,1880,1285,0,Healthy,0,0.0
SKU-010,Classic Salted Chips 52 g,Snacks,31.43,47.85,7,800,0.24,198,0,25486,2123.8333333333335,269.82480286738695,0.12704612863566833,801024.98,0.04341184573873688,0.3928087297647337,A,X,2.05,268,764,2326,198,2892,Stockout risk,0,0.0
SKU-021,Bath Soap 100 g,Personal Care,49.18,78.15,18,950,0.24,6476,1079,16191,1349.25,62.006048092101466,0.0459559370702994,796273.38,0.043154331015273224,0.4359630607800069,A,X,2.05,99,909,1615,7555,0,Healthy,4762,234195.16
SKU-032,Fabric Conditioner 500 ml,Home Care,73.82,114.34,7,1100,0.24,2517,0,9959,829.9166666666666,267.4089338051141,0.3222117889006295,735173.3799999999,0.03984299386491765,0.47580605464492454,A,X,2.05,265,459,1113,2517,0,Healthy,1139,84080.98
SKU-022,Face Wash 100 ml,Personal Care,56.8,91.48,21,950,0.24,2325,0,12683,1056.9166666666667,98.28942265605494,0.09299637876469756,720394.3999999999,0.03904204156510813,0.5148480962100327,A,X,2.05,169,909,1330,2325,0,Healthy,826,46916.8
SKU-011,Masala Chips 52 g,Snacks,32.7,46.36,10,800,0.24,5292,0,20268,1689,189.12429775150522,0.11197412537093264,662763.6000000001,0.035918718994818265,0.5507668152048509,A,X,2.05,224,787,2033,5292,0,Healthy,3035,99244.5
SKU-012,Roasted Peanuts 100 g,Snacks,37.76,53.69,14,800,0.24,1717,0,16266,1355.5,153.5770461068616,0.11329918561922656,614204.1599999999,0.03328702214256846,0.5840538373474194,A,X,2.05,216,849,1695,1717,0,Healthy,0,0.0
SKU-013,Cheese Puffs 45 g,Snacks,42.81,60.26,18,800,0.24,262,0,13116,1093,113.35142458101465,0.10370670135499968,561495.9600000001,0.030430481704133594,0.614484319051553,A,X,2.05,180,836,1430,262,2004,Stockout risk,0,0.0
SKU-033,Surface Spray 500 ml,Home Care,75.08,119.68,10,1100,0.24,625,0,6622,551.8333333333334,139.51658965111923,0.2528237807027228,497179.76,0.026944841402501862,0.6414291604540548,A,X,2.05,166,350,900,625,0,Healthy,0,0.0
SKU-023,Body Lotion 200 ml,Personal Care,59.07,90.59,5,950,0.24,324,0,8326,693.8333333333334,242.6830455677953,0.3497713844359288,491816.82,0.02665419488110861,0.6680833553351635,A,X,2.05,204,320,1057,324,0,Monitor,0,0.0
SKU-002,Lime Soda 300 ml,Beverages,23.39,38.51,7,650,0.24,914,0,20575,1714.5833333333333,221.61533354126482,0.12925317144569515,481249.25,0.02608148150745913,0.6941648368426226,A,X,2.05,220,621,2183,914,0,Healthy,0,0.0
SKU-014,Oat Cookies 120 g,Snacks,46.86,76.71,21,800,0.24,2919,667,10007,833.9166666666666,192.59682728120907,0.23095452457025173,468928.02,0.02541372788001109,0.7195785647226337,A,X,2.05,331,915,1194,3586,0,Healthy,1394,65322.84
SKU-034,Garbage Bags 30 pack,Home Care,79.38,110.04,14,1100,0.24,91,0,5830,485.8333333333333,123.15831152207997,0.25349909747254884,462785.39999999997,0.02508082631198298,0.7446593910346166,A,X,2.05,173,400,821,91,1130,Stockout risk,0,0.0
SKU-024,Toothpaste 150 g,Personal Care,64.17,93.11,7,950,0.24,2610,0,7066,588.8333333333334,179.92464752745462,0.30556124686236275,453425.22000000003,0.024573547886974554,0.7692329389215912,A,X,2.05,179,317,934,2610,0,Healthy,1497,96062.49
SKU-003,Mango Drink 200 ml,Beverages,25.76,38.52,10,650,0.24,6417,0,16987,1415.5833333333333,176.31091253461278,0.12455000591130591,437585.12000000005,0.023715087795397678,0.7929480267169888,A,X,2.05,209,681,1890,6417,0,Healthy,4318,111231.68
SKU-004,Energy Drink 250 ml,Beverages,31.12,41.39,14,650,0.24,2190,0,13364,1113.6666666666667,154.14239776219517,0.13840981541053143,415887.68,0.022539186991148725,0.8154872137081376,B,X,1.65,174,694,1526,2190,0,Healthy,490,15248.8
SKU-001,Spark Cola 250 ml,Beverages,16.52,26.25,5,650,0.24,3422,0,24640,2053.3333333333335,226.9931249793235,0.11054859982759262,407052.8,0.02206037739437404,0.8375475911025116,B,X,1.65,153,496,2843,3422,0,Healthy,426,7037.52
SKU-005,Bottled Water 1 L,Beverages,37.8,57.68,18,650,0.24,725,0,9672,806,246.59757427104518,0.30595232539831907,365601.6,0.01981391424401694,0.8573615053465286,B,X,1.65,316,800,1178,725,1253,Reorder now,0,0.0
SKU-015,Chilli Corn Snacks 60 g,Snacks,53.87,76.73,5,800,0.24,482,0,5984,498.6666666666667,126.2697929279232,0.25321482539022033,322358.07999999996,0.017470315646829642,0.8748318209933582,B,X,1.65,86,170,861,482,0,Healthy,0,0.0
SKU-025,Deodorant 150 ml,Personal Care,67.69,100.84,10,950,0.24,664,0,4348,362.3333333333333,86.96533618039832,0.24001472726880863,294316.12,0.015950571229206328,0.8907823922225645,B,X,1.65,83,204,714,664,0,Healthy,0,0.0
SKU-006,Iced Tea Lemon 300 ml,Beverages,38.79,60.24,21,650,0.24,3060,0,7494,624.5,221.21996457660128,0.3542353315878323,290692.26,0.015754174793106694,0.9065365670156712,B,X,1.65,306,744,1023,3060,0,Healthy,1731,67145.49
